Date,Open,High,Low,Close,Adj Close,Volume,Dividends,StockSplits
2024-06-21,3982.590087890625,3992.679931640625,3940.75,3989.10009765625,3958.329345703125,498200,0.0,0.0
2024-06-24,3989.110107421875,4018.090087890625,3960.0,3981.199951171875,3950.48974609375,161900,0.0,0.0
2024-06-25,4016.8701171875,4033.0,3986.0,4014.3798828125,3983.413818359375,150100,0.0,0.0
2024-06-26,3988.179931640625,4008.18994140625,3971.139892578125,3982.3798828125,3951.66064453125,175100,0.0,0.0
2024-06-27,4040.0,4040.0,4000.0,4009.39990234375,3978.47216796875,168500,0.0,0.0
2024-06-28,3994.0,4031.669921875,3951.0,3961.5,3930.941650390625,321200,0.0,0.0
2024-07-01,3977.35009765625,3977.35009765625,3869.760009765625,3884.8798828125,3854.9130859375,231100,0.0,0.0
2024-07-02,3876.81005859375,3922.3798828125,3876.81005859375,3916.2099609375,3886.001220703125,196200,0.0,0.0
2024-07-03,3912.510009765625,3936.969970703125,3901.949951171875,3916.889892578125,3886.676025390625,79400,0.0,0.0
2024-07-05,3936.97998046875,3939.760009765625,3905.0,3930.14990234375,3899.833740234375,201700,0.0,0.0
2024-07-08,3932.81005859375,4002.800048828125,3914.0400390625,3984.6298828125,3953.8935546875,159500,0.0,0.0
2024-07-09,4004.830078125,4020.239990234375,3973.89990234375,3977.47998046875,3946.79833984375,150800,0.0,0.0
2024-07-10,3980.1201171875,3990.889892578125,3950.0,3990.050048828125,3959.271728515625,159000,0.0,0.0
2024-07-11,3998.989990234375,3998.989990234375,3926.1298828125,3936.409912109375,3906.045166015625,229400,0.0,0.0
2024-07-12,3950.0,4051.68994140625,3950.0,4026.429931640625,3995.37109375,197600,0.0,0.0
2024-07-15,4034.6201171875,4100.0,4013.260009765625,4088.0,4056.46630859375,145500,0.0,0.0
2024-07-16,4117.0,4144.31982421875,4110.64013671875,4119.08984375,4087.31591796875,144400,0.0,0.0
2024-07-17,4102.080078125,4108.7099609375,3989.31005859375,3989.639892578125,3958.864990234375,226800,0.0,0.0
2024-07-18,4002.139892578125,4022.739990234375,3905.14990234375,3930.56005859375,3900.24072265625,189600,0.0,0.0
2024-07-19,3938.090087890625,3976.97998046875,3930.56005859375,3967.25,3936.647705078125,160100,0.0,0.0
2024-07-22,3976.0,3984.639892578125,3905.0,3909.39990234375,3879.243896484375,254600,0.0,0.0
2024-07-23,3907.0,3945.389892578125,3901.6298828125,3919.199951171875,3888.96826171875,208500,0.0,0.0
2024-07-24,3880.0,3891.070068359375,3800.0,3805.780029296875,3776.42333984375,322100,0.0,0.0
2024-07-25,3786.0,3786.0,3643.050048828125,3659.8798828125,3631.648681640625,482500,0.0,0.0
2024-07-26,3698.5400390625,3714.239990234375,3659.14990234375,3700.989990234375,3672.44140625,234000,0.0,0.0
2024-07-29,3735.10009765625,3799.6298828125,3715.280029296875,3755.1298828125,3726.16357421875,224600,0.0,0.0
2024-07-30,3752.110107421875,3791.43994140625,3683.75,3720.989990234375,3692.287109375,219700,0.0,0.0
2024-07-31,3776.0,3776.0,3700.1201171875,3715.010009765625,3686.353515625,393100,0.0,0.0
2024-08-01,3716.22998046875,3748.409912109375,3631.429931640625,3664.179931640625,3635.915283203125,551900,0.0,0.0
2024-08-02,3311.590087890625,3465.56005859375,3291.050048828125,3328.1298828125,3302.45751953125,801500,0.0,0.0
2024-08-05,3205.0,3387.35009765625,3180.0,3383.429931640625,3357.330810546875,665200,0.0,0.0
2024-08-06,3415.0,3490.780029296875,3386.489990234375,3417.080078125,3390.7216796875,429300,0.0,0.0
2024-08-07,3402.64990234375,3472.340087890625,3291.800048828125,3305.6201171875,3280.121337890625,419700,0.0,0.0
2024-08-08,3316.070068359375,3409.580078125,3307.89990234375,3394.85009765625,3368.6630859375,377300,0.0,0.0
2024-08-09,3394.85009765625,3456.0,3394.85009765625,3443.050048828125,3416.490966796875,251800,0.0,0.0
2024-08-12,3442.409912109375,3471.469970703125,3399.27001953125,3439.179931640625,3412.65087890625,212700,0.0,0.0
2024-08-13,3484.9599609375,3572.25,3472.5,3567.760009765625,3540.2392578125,263300,0.0,0.0
2024-08-14,3572.0,3610.27001953125,3557.639892578125,3572.580078125,3545.02197265625,190000,0.0,0.0
2024-08-15,3620.0,3653.9599609375,3607.239990234375,3634.669921875,3606.6328125,201800,0.0,0.0
2024-08-16,3634.669921875,3636.550048828125,3592.280029296875,3618.860107421875,3590.945068359375,196300,0.0,0.0
2024-08-19,3616.52001953125,3705.7900390625,3610.43994140625,3702.010009765625,3673.45361328125,198100,0.0,0.0
2024-08-20,3692.14990234375,3719.510009765625,3665.5400390625,3702.5,3673.939697265625,176000,0.0,0.0
2024-08-21,3702.5,3745.0400390625,3683.139892578125,3738.0,3709.166015625,261600,0.0,0.0
2024-08-22,3752.419921875,3791.169921875,3752.419921875,3768.090087890625,3739.024169921875,173900,0.0,0.0
2024-08-23,3779.280029296875,3853.22998046875,3759.429931640625,3830.580078125,3801.031982421875,223300,0.0,0.0
2024-08-26,3842.0,3858.320068359375,3784.75,3797.889892578125,3768.59375,219200,0.0,0.0
2024-08-27,3798.52001953125,3901.580078125,3798.52001953125,3881.449951171875,3851.509521484375,236300,0.0,0.0
2024-08-28,3878.0,3911.570068359375,3860.330078125,3898.239990234375,3868.169921875,232200,0.0,0.0
2024-08-29,3915.0,3929.77001953125,3882.280029296875,3890.81005859375,3860.79736328125,224000,0.0,0.0
2024-08-30,3930.10009765625,3940.25,3885.699951171875,3909.22998046875,3879.0751953125,239600,0.0,0.0
2024-09-03,3876.010009765625,3905.429931640625,3798.2099609375,3813.780029296875,3784.361572265625,276700,0.0,0.0
2024-09-04,3776.159912109375,3808.580078125,3769.489990234375,3799.2099609375,3769.90380859375,219600,0.0,0.0
