Date,Open,High,Low,Close,Volume,Dividends,StockSplits,Capital Gains
2024-06-21,264.0648348393918,264.44849138493134,263.1203894516789,263.95660400390625,2676000,0.0,0.0,0.0
2024-06-24,263.98610817782884,265.40274619475247,263.4351967292943,263.5138854980469,2226500,0.0,0.0,0.0
2024-06-25,264.015646787723,264.379638671875,263.14992013221286,264.379638671875,2073800,0.0,0.0,0.0
2024-06-26,263.6320113463589,264.73383444262447,263.287684123169,264.3698425292969,1857500,0.0,0.0,0.0
2024-06-27,264.26156840937017,265.2158311172903,264.13367288834644,265.0092468261719,2655400,0.0,0.0,0.0
2024-06-28,265.93926263660245,266.966025492844,263.55010095421034,264.10296630859375,2822800,0.952,0.0,0.0
2024-07-01,265.07044584202276,265.07044584202276,263.33288205595665,264.63604736328125,2881000,0.0,0.0,0.0
2024-07-02,264.053561852194,266.1959375089905,263.84624489472964,266.16632080078125,4207800,0.0,0.0,0.0
2024-07-03,266.1761195140348,267.44969796914836,266.1761195140348,267.2621154785156,1948500,0.0,0.0,0.0
2024-07-05,267.37077450602493,268.7924367083615,266.95611047663573,268.6542053222656,4237500,0.0,0.0,0.0
2024-07-08,269.177436018931,269.4440164947204,268.4468705378119,269.01947021484375,2335000,0.0,0.0,0.0
2024-07-09,269.3452778545804,269.70067830886217,268.8417637487855,268.95037841796875,2702100,0.0,0.0,0.0
2024-07-10,269.7303490576006,271.70487676517865,269.37494853210944,271.5567932128906,1992600,0.0,0.0,0.0
2024-07-11,272.23796679788086,272.74148092894455,269.95739004843523,270.3424072265625,3598000,0.0,0.0,0.0
2024-07-12,270.8558158575677,273.8274592576282,270.8459335788194,272.12939453125,2729500,0.0,0.0,0.0
2024-07-15,273.27460800008237,274.75550370122926,272.366342175563,273.29437255859375,3386100,0.0,0.0,0.0
2024-07-16,274.0643926252057,275.6538726245214,273.86692784555004,275.5452880859375,3261100,0.0,0.0,0.0
2024-07-17,272.72171861456275,273.73859903445566,271.48763897251325,271.6554870605469,3346100,0.0,0.0,0.0
2024-07-18,272.48479670612454,273.0277797204649,268.19019334095475,269.28607177734375,2904200,0.0,0.0,0.0
