Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-06-15,388.5822350256415,395.2976266532386,388.4756555899053,394.1541748046875,5285000,0.0,0.0,0.0
2023-06-16,396.034036885269,396.1018762820154,392.35172389308883,392.7005615234375,5141900,0.0,0.0,0.0
2023-06-20,390.99506819176,391.7993820446397,388.8341437907886,390.88848876953125,4242900,0.0,0.0,0.0
2023-06-21,389.85159978531476,390.57837441585673,388.2624013042481,388.7469177246094,3423500,0.0,0.0,0.0
2023-06-22,387.8844794672428,390.2489220568549,387.56471162921747,390.1617126464844,3141000,0.0,0.0,0.0
2023-06-23,386.9638709623269,388.85349682922896,386.576263740857,387.2351989746094,4215300,0.0,0.0,0.0
2023-06-26,386.6828941070974,388.44651149816,385.41346338240044,385.6363220214844,3250700,0.0,0.0,0.0
2023-06-27,386.4502445104552,390.45235445440244,386.05296711126664,389.9096984863281,4302400,0.0,0.0,0.0
2023-06-28,388.92131536086305,390.9950301493725,388.30112018175464,390.0841369628906,4320700,0.0,0.0,0.0
2023-06-29,389.72039052094556,391.7341799629939,389.32152186173994,391.5785217285156,3914800,1.576,0.0,0.0
2023-06-30,394.3899557361905,397.1333760137407,394.28295741703056,396.2189025878906,5173700,0.0,0.0,0.0
2023-07-03,395.8687590991627,396.977783203125,395.635256901929,396.977783203125,2372000,0.0,0.0,0.0
2023-07-05,394.9834746610855,396.7637619385195,394.9834746610855,396.0924987792969,4230100,0.0,0.0,0.0
2023-07-06,392.81394914503824,393.3684759387003,390.65423977546186,392.8625793457031,6040300,0.0,0.0,0.0
2023-07-07,392.0843330151019,395.63519877384647,391.7730165903785,391.9481506347656,3673200,0.0,0.0,0.0
2023-07-10,391.69517525830287,393.13496166779964,391.140648481732,392.998779296875,3362300,0.0,0.0,0.0
2023-07-11,393.7771291920822,395.94657689842745,392.8042874798011,395.5185241699219,3177800,0.0,0.0,0.0
2023-07-12,399.04990656825964,399.96438006635685,397.68793423772235,398.631591796875,4246400,0.0,0.0,0.0
2023-07-13,400.36325929994916,402.5715991483689,399.9643906624444,401.8808898925781,3273400,0.0,0.0,0.0
2023-07-14,402.6980521822568,403.44712952239934,400.8885513775187,401.559814453125,3680900,0.0,0.0,0.0
2023-07-17,401.44312370953423,403.9725180807868,401.4236775633886,402.96075439453125,2963700,0.0,0.0,0.0
2023-07-18,402.6688947293,406.579707511396,402.30894806559303,406.0154724121094,3594000,0.0,0.0,0.0
2023-07-19,406.7158563472353,407.9805384320427,406.15159164692426,406.8909606933594,3494900,0.0,0.0,0.0
2023-07-20,405.9667948298692,406.80345405850795,403.5541666209304,404.2351379394531,4085000,0.0,0.0,0.0
2023-07-21,405.78196824854274,405.9668105379952,404.19626129031207,404.2838134765625,3176700,0.0,0.0,0.0
2023-07-24,405.2663404800204,406.7450787121582,404.72155155937054,405.9959716796875,3471100,0.0,0.0,0.0
2023-07-25,405.7527497037464,408.25295966857976,405.7430414763911,407.19256591796875,3949300,0.0,0.0,0.0
2023-07-26,406.27812285141,408.48649238537706,405.26635922821055,407.2898864746094,6138800,0.0,0.0,0.0
2023-07-27,410.33487369409784,410.6850824253921,403.65145653963486,404.5270080566406,4149400,0.0,0.0,0.0
2023-07-28,407.55256743986615,409.196672292745,406.8034900166478,408.467041015625,2701200,0.0,0.0,0.0
2023-07-31,408.90476565935205,409.53710672637374,407.66923789536435,409.2549743652344,3452100,0.0,0.0,0.0
